Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2019-01-01,196.502685546875,197.09351682766595,194.4869198986194,196.15514810147013,2586466
2019-01-02,195.04299926757812,196.8849960856108,192.92296810355023,196.18989920587168,10316782
2019-01-03,193.82659912109375,196.3289305860213,193.06199906400505,195.0430243242839,6350450
2019-01-04,195.28628540039062,196.6764792619597,194.03511973677993,194.03511973677993,8105747
2019-01-07,195.77284240722656,198.27517362399058,195.3210393354367,197.61483927921992,10133320
2019-01-08,197.580078125,198.4489437489129,195.5643125210624,196.01613762555908,7768619
2019-01-09,201.85488891601562,202.7585170317281,197.82335799268543,198.5184548486565,12651287
2019-01-10,201.29884338378906,204.1487121825315,200.81227773162524,202.09820596152332,10684824
2019-01-11,205.29562377929688,205.74744892929905,202.619523556383,202.89755794049697,17419014
2019-01-14,204.56578063964844,204.91331810284123,201.5768835558751,204.70480884262827,6646635
2019-01-15,206.12974548339844,206.72057680073672,204.35725153138353,205.2261172281449,7490965
2019-01-16,204.39199829101562,206.12972955021718,202.75853266972638,205.74742955437296,8083821
2019-01-17,204.32247924804688,205.46937914598828,201.6811200097719,204.42672284831306,11009380
2019-01-18,202.58477783203125,205.12184978307874,202.02868704855774,203.83594354321363,11418250
2019-01-21,201.50735473632812,203.80115457128952,200.67322968397733,203.55786075451996,8519267
2019-01-22,201.40309143066406,202.27195701722906,198.20566342856475,201.47259450932873,10727385
2019-01-23,192.7491912841797,204.63527608891897,191.15048817185388,202.61951041272394,41735950
2019-01-24,193.86135864257812,196.9545213812498,193.131499126198,194.13939301993568,29105831
2019-01-25,194.06985473632812,196.50266060436755,193.58328915682011,194.62592339019423,9240591
2019-01-28,190.9767303466797,194.24366187143772,190.59443031781447,193.86136184257253,9338450
2019-01-29,193.54852294921875,193.93082289521854,190.9766889515383,191.3589888975381,7267917
2019-01-30,191.49803161621094,194.76496305676906,190.59442540554852,194.6954599704499,10852162
2019-01-31,193.68759155273438,194.34792595824575,190.17736620351013,192.19313197857298,15937442
2019-02-01,195.21678161621094,198.24041910855163,194.00035648432356,195.07775341875103,19060690
2019-02-04,192.6101837158203,195.9466181140106,191.8803242343545,195.9466181140106,6289877
2019-02-05,190.55966186523438,193.09675581260063,189.41276181411098,192.78395888152033,10205529
2019-02-06,193.02719116210938,193.5137567231876,190.83765715200724,191.15045401902177,8409442
2019-02-07,194.83445739746094,195.3210229838483,192.54063561620563,193.16622938277553,6177040
2019-02-08,191.49803161621094,195.46006000847396,190.87245978032962,194.2783973935261,4575570
2019-02-11,192.6101837158203,193.3747837243536,186.59762725826013,191.7065555105067,10335615
2019-02-12,191.3590087890625,194.97347737614356,190.87244316816668,192.57541182655078,7624089
2019-02-14,193.16627502441406,194.76497831200197,192.54068111002786,192.54068111002786,10378675
2019-02-15,194.69541931152344,195.28625049561202,191.4284885532099,193.93081943317344,38998388
2019-02-18,190.9419403076172,196.3289024952492,190.38587162375234,193.79183086405266,42232590
2019-02-19,191.77606201171875,194.06988410769944,190.45539325153587,190.45539325153587,35777932
2019-02-20,191.74131774902344,192.88821775992088,190.6291582651358,192.7144490363613,6208106
2019-02-21,191.1852264404297,192.3668890044293,190.5944171879333,191.7760577224295,7264425
2019-02-22,190.66392517089844,191.81082520795792,189.82982206108355,191.56755339532592,9100951
2019-02-25,192.33213806152344,192.64491293428767,189.76028179333545,190.80291610472145,31204722
2019-02-26,191.49803161621094,192.54066602901608,190.49015976131759,191.1157315971989,12233273
2019-02-27,191.22000122070312,193.8613608803464,190.3858980790023,191.84559509910738,13634026
