Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-01-01,1561.00048828125,1566.9071137839242,1546.3978583679043,1555.421930750953,1094883
2019-01-02,1577.818115234375,1586.9651632531084,1558.7034486750615,1562.8052998557853,2100463
2019-01-03,1558.662353515625,1595.5790132754998,1553.042837558525,1574.2904462044448,2611668
2019-01-04,1539.7119140625,1559.6879100155566,1510.3016600483052,1558.7035057532753,4280862
2019-01-07,1556.9803466796875,1565.9224003035415,1543.1160727281522,1551.9761093751106,1856423
2019-01-08,1553.4114990234375,1563.9532324461793,1545.0027073599458,1563.13286252779,1691756
2019-01-09,1547.9974365234375,1574.2903402623929,1531.3849407494336,1564.7740664154824,2414376
2019-01-10,1549.3101806640625,1562.8052303916706,1535.8150307936075,1550.4996773964608,3053461
2019-01-11,1511.5733642578125,1538.1943409276562,1505.3795283211996,1534.0924893518493,9209862
2019-01-14,1487.5362548828125,1518.5052297190603,1484.870051751215,1517.6848595247225,3615370
2019-01-15,1532.28759765625,1533.5591114618962,1483.2294165002618,1484.87015700524,7711653
2019-01-16,1534.215576171875,1538.194352200996,1515.2239832081277,1534.0925005951267,2359280
2019-01-17,1557.3582763671875,1560.400112101309,1538.4493182121137,1543.9575397925494,2625816
2019-01-18,1562.578857421875,1565.497353949853,1542.313365884988,1546.424009184255,1683728
2019-01-21,1569.197021484375,1588.3526604831009,1558.303816126507,1563.688799295475,2409803
2019-01-22,1563.606689453125,1577.04847444203,1553.823337258145,1567.8817188094542,2457093
2019-01-23,1541.984375,1567.0592971847307,1537.3804749326632,1562.866461415504,2578169
2019-01-24,1563.3187255859375,1566.360561352664,1541.491170469096,1549.548071129747,1962927
2019-01-25,1579.1451416015625,1590.8193311757072,1562.8669501628008,1563.6890790161215,2327080
2019-01-28,1607.261474609375,1613.0163750299712,1583.0086799797195,1589.1746447160726,2769033
2019-01-29,1630.075439453125,1635.2548896420453,1592.1753320457235,1613.0162714447263,2557626
2019-01-30,1628.965576171875,1635.6247975480464,1606.9736368230888,1627.4857045960625,2429575
2019-01-31,1655.8492431640625,1660.4942899657547,1631.925320253508,1633.5695775031338,4094319
2019-02-01,1668.880126953125,1672.8263848857591,1642.6953477330128,1652.067635054888,3064163
2019-02-04,1685.569091796875,1689.8441201954436,1663.1660883819427,1668.879841770461,1590764
2019-02-05,1680.883056640625,1689.4742603030613,1667.2767882698822,1685.363617333954,1111404
2019-02-06,1705.7523193359375,1715.6590082953362,1678.0054813646816,1685.28119844816,1789812
2019-02-07,1712.4117431640625,1724.7848199112814,1699.3399774695313,1705.7114747241947,1339945
2019-02-08,1694.7359619140625,1717.8378578524485,1686.1859040226714,1705.9169921243506,1684474
2019-02-11,1698.435302734375,1723.1814525440188,1684.4591172891228,1693.5848245423085,1778730
2019-02-12,1686.6788330078125,1701.805916423371,1659.0552363972765,1701.805916423371,2422903
2019-02-14,1680.9241943359375,1705.9169250197754,1671.4286687750262,1693.6261420162473,1724085
2019-02-15,1668.6744384765625,1687.0079470499786,1653.2595266796877,1684.5415611624785,1930065
2019-02-18,1619.8404541015625,1678.745903765365,1613.5511485573977,1675.1696634700625,2942184
